itemId,itemName,itemLvl,quality,qualityName,classId,classIdName,subClassId,inventorySlot,inventorySlotName,crmRarity,crmSlot,slotType
647,Destiny,57,4,Epic,2,Weapons,8,17,Two-Hand,257260002,257260000,Sword
744,Thunderbrew's Boot Flask,44,2,Uncommon,4,Armor,-4,12,Trinket,257260000,257260003,
754,Shortsword of Vengeance,47,3,Rare,2,Weapons,7,13,One-Hand,257260001,257260001,Sword
809,Bloodrazor,50,4,Epic,2,Weapons,7,21,Main Hand,257260002,257260001,Sword
810,Hammer of the Northern Wind,54,4,Epic,2,Weapons,4,21,Main Hand,257260002,257260001,Mace
811,Axe of the Deep Woods,57,4,Epic,2,Weapons,0,21,Main Hand,257260002,257260001,Axe
812,Glowing Brightwood Staff,54,4,Epic,2,Weapons,10,17,Two-Hand,257260002,257260000,Staff
833,Lifestone,56,4,Epic,4,Armor,-4,12,Trinket,257260002,257260003,
862,Runed Ring,50,3,Rare,4,Armor,-2,11,Finger,257260001,257260004,
866,Monk's Staff,42,2,Uncommon,2,Weapons,10,17,Two-Hand,257260000,257260000,Staff
867,Gloves of Holy Might,42,4,Epic,4,Armor,2,10,Hands,257260002,257260003,Leather
868,Ardent Custodian,43,4,Epic,2,Weapons,4,21,Main Hand,257260002,257260001,Mace
869,Dazzling Longsword,41,4,Epic,2,Weapons,7,21,Main Hand,257260002,257260001,Sword
870,Fiery War Axe,40,4,Epic,2,Weapons,1,17,Two-Hand,257260002,257260000,Axe
871,Flurry Axe,47,4,Epic,2,Weapons,0,13,One-Hand,257260002,257260001,Axe
873,Staff of Jordan,40,4,Epic,2,Weapons,10,17,Two-Hand,257260002,257260000,Staff
940,Robes of Insight,47,4,Epic,4,Armor,1,5,Chest,257260002,257260002,Cloth
941,Deprecated Speedstone,40,1,Common,4,Armor,-4,12,Trinket,257260004,257260003,
942,Freezing Band,52,4,Epic,4,Armor,-2,11,Finger,257260002,257260004,
943,Warden Staff,48,4,Epic,2,Weapons,10,17,Two-Hand,257260002,257260000,Staff
944,Elemental Mage Staff,61,4,Epic,2,Weapons,10,17,Two-Hand,257260002,257260000,Staff
1041,Horn of the Black Wolf,40,1,Common,15,Miscellaneous,5,0,,257260004,257260004,
1122,Deprecated Amulet of the White Stallion,45,1,Common,4,Armor,-3,2,Neck,257260004,257260004,
1123,Deprecated Amulet of the Pinto,45,1,Common,4,Armor,-3,2,Neck,257260004,257260004,
1124,Deprecated Amulet of the Palomino,45,1,Common,4,Armor,-3,2,Neck,257260004,257260004,
1125,Deprecated Amulet of the Nightmare,45,1,Common,4,Armor,-3,2,Neck,257260004,257260004,
1132,Horn of the Timber Wolf,40,3,Rare,15,Miscellaneous,5,0,,257260001,257260004,
1133,Horn of the Winter Wolf,40,1,Common,15,Miscellaneous,5,0,,257260004,257260004,
1134,Horn of the Gray Wolf,40,1,Common,15,Miscellaneous,5,0,,257260004,257260004,
1168,Skullflame Shield,59,4,Epic,4,Armor,6,14,Shield,257260002,257260005,Shield
1169,Blackskull Shield,46,4,Epic,4,Armor,6,14,Shield,257260002,257260005,Shield
1203,Aegis of Stormwind,54,3,Rare,4,Armor,6,14,Shield,257260001,257260005,Shield
1204,The Green Tower,41,4,Epic,4,Armor,6,14,Shield,257260002,257260005,Shield
1263,Brain Hacker,60,4,Epic,2,Weapons,1,17,Two-Hand,257260002,257260000,Axe
1315,Lei of Lilies,51,4,Epic,4,Armor,-3,2,Neck,257260002,257260004,
1403,Deprecated Capstone,40,1,Common,4,Armor,-4,12,Trinket,257260004,257260003,
1404,Tidal Charm,41,2,Uncommon,4,Armor,-4,12,Trinket,257260000,257260003,
1443,Jeweled Amulet of Cainwyn,60,4,Epic,4,Armor,-3,2,Neck,257260002,257260004,
1444,Deprecated Inferno Stone,40,3,Rare,4,Armor,-4,12,Trinket,257260001,257260003,
1447,Ring of Saviors,46,4,Epic,4,Armor,-2,11,Finger,257260002,257260004,
1490,Guardian Talisman,50,2,Uncommon,4,Armor,-4,12,Trinket,257260000,257260003,
1521,Lumbering Ogre Axe,44,2,Uncommon,2,Weapons,1,17,Two-Hand,257260000,257260000,Axe
1603,Tablet of Call Spirit II,40,1,Common,9,Recipes,0,0,,257260004,257260004,
1604,Chromatic Sword,45,2,Uncommon,2,Weapons,8,17,Two-Hand,257260000,257260000,Sword
1607,Soulkeeper,54,3,Rare,2,Weapons,10,17,Two-Hand,257260001,257260000,Staff
1608,Skullcrusher Mace,47,2,Uncommon,2,Weapons,4,13,One-Hand,257260000,257260001,Mace
1613,Spiritchaser Staff,44,2,Uncommon,2,Weapons,10,17,Two-Hand,257260000,257260000,Staff
1622,Deprecated Foreman's Whip,42,1,Common,4,Armor,-4,12,Trinket,257260004,257260003,
1624,Skullsplitter Helm,43,2,Uncommon,4,Armor,3,1,Head,257260000,257260002,Mail
1625,Exquisite Flamberge,41,2,Uncommon,2,Weapons,8,17,Two-Hand,257260000,257260000,Sword
1639,Grinning Axe,49,2,Uncommon,2,Weapons,1,17,Two-Hand,257260000,257260000,Axe
1640,Monstrous War Axe,42,2,Uncommon,2,Weapons,1,17,Two-Hand,257260000,257260000,Axe
1645,Moonberry Juice,45,1,Common,0,Consumables,0,0,,257260004,257260004,
1649,Deprecated Ham Sandwich,40,1,Common,0,Consumables,0,0,,257260004,257260004,
1654,Deprecated Strangleslash Metal,40,1,Common,7,Trade Goods,0,0,,257260004,257260004,
1659,Engineering Gloves,40,2,Uncommon,4,Armor,1,10,Hands,257260000,257260003,Cloth
1664,Spellforce Rod,41,2,Uncommon,2,Weapons,10,17,Two-Hand,257260000,257260000,Staff
1677,Drake-scale Vest,46,2,Uncommon,4,Armor,3,5,Chest,257260000,257260002,Mail
1680,Headchopper,44,2,Uncommon,2,Weapons,1,17,Two-Hand,257260000,257260000,Axe
1685,Troll-hide Bag,45,1,Common,1,Containers,0,18,Bag,257260004,257260004,
1695,Deprecated Jungle Stalker Pelt,40,1,Common,7,Trade Goods,0,0,,257260004,257260004,
1700,Deprecated Blood Totem,43,1,Common,4,Armor,-3,2,Neck,257260004,257260004,
1713,Ankh of Life,45,3,Rare,4,Armor,-4,12,Trinket,257260001,257260003,
1714,Necklace of Calisea,43,3,Rare,4,Armor,-3,2,Neck,257260001,257260004,
1715,Polished Jazeraint Armor,44,3,Rare,4,Armor,3,5,Chest,257260001,257260002,Mail
1716,Robe of the Magi,40,3,Rare,4,Armor,1,5,Chest,257260001,257260002,Cloth
1718,Basilisk Hide Pants,43,3,Rare,4,Armor,2,7,Legs,257260001,257260002,Leather
1720,Tanglewood Staff,46,3,Rare,2,Weapons,10,17,Two-Hand,257260001,257260000,Staff
1721,Viking Warhammer,54,3,Rare,2,Weapons,4,21,Main Hand,257260001,257260001,Mace
1722,Thornstone Sledgehammer,42,3,Rare,2,Weapons,5,17,Two-Hand,257260001,257260000,Mace
1728,Teebu's Blazing Longsword,65,4,Epic,2,Weapons,7,21,Main Hand,257260002,257260001,Sword
1973,Orb of Deception,59,3,Rare,4,Armor,-4,12,Trinket,257260001,257260003,
1979,Wall of the Dead,50,4,Epic,4,Armor,6,14,Shield,257260002,257260005,Shield
1980,Underworld Band,43,4,Epic,4,Armor,-2,11,Finger,257260002,257260004,
1981,Icemail Jerkin,44,4,Epic,4,Armor,3,5,Chest,257260002,257260002,Mail
1982,Nightblade,44,4,Epic,2,Weapons,8,17,Two-Hand,257260002,257260000,Sword
1986,Gutrender,41,2,Uncommon,2,Weapons,8,17,Two-Hand,257260000,257260000,Sword
1994,Ebonclaw Reaver,46,2,Uncommon,2,Weapons,0,13,One-Hand,257260000,257260001,Axe
2040,Troll Protector,48,3,Rare,4,Armor,6,14,Shield,257260001,257260005,Shield
2099,Dwarven Hand Cannon,58,4,Epic,2,Weapons,3,15,Ranged,257260002,257260006,Gun
2100,Precisely Calibrated Boomstick,48,4,Epic,2,Weapons,3,15,Ranged,257260002,257260006,Gun
